Variable,Outcome,Mean,SD,Median,Min,Max,Count,Best Distribution,Parameters
hormone1,0,1.8237791286727458,1.5799101971584473,1.5,0.05,26.1,987,lognormal,"s=0.609, scale=1.499"
hormone1,1,1.658125,0.8624575005480399,1.5,0.3,5.5,160,lognormal,"s=0.504, scale=1.466"
hormone2,0,375.1479229989868,255.41087767224886,312.0,31.0,2798.0,987,lognormal,"s=0.546, scale=319.752"
hormone2,1,411.95625,270.8856972359027,365.5,77.0,2630.0,160,lognormal,"s=0.510, scale=358.333"
hormone3,0,8.990881458966568,11.582348163426722,5.6,0.0,118.4,987,lognormal,"s=0.898, scale=5.827"
hormone3,1,9.910625,11.790373415091466,6.05,0.1,91.2,160,lognormal,"s=0.901, scale=6.501"
hormone4,0,7.507700101317123,10.921876435273072,5.5,0.1,131.4,987,lognormal,"s=0.686, scale=5.487"
hormone4,1,9.401250000000001,13.435599887597972,5.5,1.5,90.0,160,lognormal,"s=0.759, scale=6.309"
hormone5,0,335.60763829787237,332.25504983231315,274.898,0.0,5686.811,987,lognormal,"s=0.724, scale=265.249"
hormone5,1,276.44851875,235.44463413794728,250.0,0.0,2264.758,160,lognormal,"s=0.652, scale=225.956"
hormone6,0,78.88975683890578,53.98862273036932,64.5,0.76,375.2,987,lognormal,"s=0.681, scale=63.594"
hormone6,1,75.75437500000001,48.684122199377285,68.7,4.4,283.1,160,lognormal,"s=0.682, scale=61.542"
hormone7,0,5.625227963525837,3.8988480412021196,5.1,0.0,47.1,987,lognormal,"s=0.741, scale=4.470"
hormone7,1,5.65,3.9696490030665394,5.1,0.2,34.7,160,lognormal,"s=0.799, scale=4.379"
hormone8,0,180.02036474164132,87.23032392719229,166.0,16.3,558.0,987,lognormal,"s=0.496, scale=160.304"
hormone8,1,153.7625,70.96381020274043,142.5,20.7,384.0,160,lognormal,"s=0.489, scale=137.612"
hormone10_generated,0,0.7617216558948637,8.298285635197853,0.427,0.077,261.0,987,lognormal,"s=0.640, scale=0.419"
hormone10_generated,1,0.5082525045126352,0.36564639137397975,0.4555,0.077,2.971,160,lognormal,"s=0.633, scale=0.418"
lipids1,0,0.9573049645390073,0.3872109027003947,0.91,0.2,2.73,987,lognormal,"s=0.412, scale=0.882"
lipids1,1,0.9846250000000001,0.3704355544490836,0.98,0.27,2.19,160,lognormal,"s=0.403, scale=0.913"
lipids2,0,4.461408308004053,0.9106923688721577,4.33,2.43,8.82,987,lognormal,"s=0.199, scale=4.373"
lipids2,1,4.763562500000001,0.9622996217950615,4.63,3.08,8.4,160,lognormal,"s=0.194, scale=4.673"
lipids3,0,1.1042451874366768,0.2767401382567286,1.06,0.41,2.01,987,lognormal,"s=0.251, scale=1.070"
lipids3,1,1.115,0.26645589154373145,1.09,0.62,2.0,160,lognormal,"s=0.236, scale=1.084"
lipids4,0,2.9279533941236067,0.8745130582807668,2.81,0.82,7.01,987,lognormal,"s=0.298, scale=2.803"
lipids4,1,3.1979374999999997,0.9449668703220707,3.125,1.36,6.59,160,lognormal,"s=0.291, scale=3.066"
lipids5,0,0.4281256332320162,0.15466128803849855,0.42,0.09,1.24,987,lognormal,"s=0.365, scale=0.402"
lipids5,1,0.4421875,0.1575427340448123,0.42,0.12,1.0,160,lognormal,"s=0.379, scale=0.414"
сarb_metabolism,0,4.895065856129686,0.8065695461510104,4.8,3.13,11.5,987,lognormal,"s=0.157, scale=4.834"
сarb_metabolism,1,4.8600625,0.7076540185045658,4.8,3.04,6.59,160,normal,"mu=4.860, sigma=0.705"
lipid_pero1,0,2.0682168186423504,0.8033658034790907,1.97,0.5,5.02,987,lognormal,"s=0.405, scale=1.913"
lipid_pero1,1,2.1810625000000003,0.8356187003779796,1.995,0.6,4.4,160,lognormal,"s=0.409, scale=2.017"
lipid_pero2,0,1.3839007092198583,0.5697332943075194,1.3,0.12,3.7,987,lognormal,"s=0.436, scale=1.268"
lipid_pero2,1,1.4482875,0.6162351036637084,1.255,0.22,3.26,160,lognormal,"s=0.451, scale=1.318"
lipid_pero3,0,0.6816109422492401,0.3738841933843975,0.59,0.07,1.93,987,lognormal,"s=0.562, scale=0.587"
lipid_pero3,1,0.75525,0.4212484439998883,0.64,0.09,1.75,160,lognormal,"s=0.607, scale=0.639"
lipid_pero4,0,1.4318844984802432,0.8026480608378502,1.32,0.23,12.4,987,lognormal,"s=0.504, scale=1.266"
lipid_pero4,1,1.49525,0.706444681521713,1.395,0.26,3.66,160,lognormal,"s=0.498, scale=1.332"
lipid_pero5,0,11.879169199594733,3.608672942288528,11.66,4.04,27.8,987,lognormal,"s=0.318, scale=11.319"
lipid_pero5,1,11.7644375,3.2826595573793647,11.96,1.75,18.55,160,normal,"mu=11.764, sigma=3.272"
antioxidant1,0,1.6210942249240121,0.1891563908512752,1.63,1.07,2.43,987,normal,"mu=1.621, sigma=0.189"
antioxidant1,1,1.6220625000000002,0.16395695429482465,1.62,1.18,2.01,160,normal,"mu=1.622, sigma=0.163"
antioxidant2,0,2.3464640324214794,0.4659387778441885,2.31,1.18,3.82,987,lognormal,"s=0.198, scale=2.301"
antioxidant2,1,2.3005,0.44819385967353076,2.275,1.54,3.76,160,lognormal,"s=0.191, scale=2.259"
antioxidant3,0,1.976301925025329,0.36930778132775877,1.96,0.94,3.59,987,normal,"mu=1.976, sigma=0.369"
antioxidant3,1,1.9477499999999999,0.35652577596972934,1.895,0.97,3.1,160,lognormal,"s=0.185, scale=1.915"
antioxidant4,0,7.732228976697062,3.1463981300770887,7.16,0.0,25.0,987,lognormal,"s=0.392, scale=7.174"
antioxidant4,1,8.5661875,3.1165480161469814,8.32,3.26,19.29,160,lognormal,"s=0.372, scale=8.013"
antioxidant5,0,0.6803546099290781,0.29075403106169584,0.6,0.23,2.04,987,lognormal,"s=0.397, scale=0.627"
antioxidant5,1,0.763625,0.28748418058747216,0.71,0.26,1.98,160,lognormal,"s=0.356, scale=0.716"
